N;Lower limit 1%;Lower limit 5%;Upper limit 5%;Upper limit 1%
1;;;;
2;;;;
3;;;;3
4;;;;4
5;;;5;5
6;;0;6;6
7;;0;7;7
8;0;0;8;8
9;0;1;8;9
10;0;1;9;10
11;0;1;10;11
12;1;2;10;11
13;1;2;11;12
14;1;2;12;13
15;2;3;12;13
16;2;3;13;14
17;2;4;13;15
18;3;4;14;15
19;3;4;15;16
20;3;5;15;17
21;4;5;16;17
22;4;5;17;18
23;4;6;17;19
24;5;6;18;19
25;5;7;18;20
26;6;7;19;20
27;6;7;20;21
28;6;8;20;22
29;7;8;21;22
30;7;9;21;23
31;7;9;22;24
32;8;9;23;24
33;8;10;23;25
34;9;10;24;25
35;9;11;24;26
36;9;11;25;27
37;10;12;25;27
38;10;12;26;28
39;11;12;27;28
40;11;13;27;29
41;11;13;28;30
42;12;14;28;30
43;12;14;29;31
44;13;15;29;31
45;13;15;30;32
46;13;15;31;33
47;14;16;31;33
48;14;16;32;34
49;15;17;32;34
50;15;17;33;35
51;15;18;33;36
52;16;18;34;36
53;16;18;35;37
54;17;19;35;37
55;17;19;36;38
56;17;20;36;39
57;18;20;37;39
58;18;21;37;40
59;19;21;38;40
60;19;21;39;41
61;20;22;39;41
62;20;22;40;42
63;20;23;40;43
64;21;23;41;43
65;21;24;41;44
66;22;24;42;44
67;22;25;42;45
68;22;25;43;46
69;23;25;44;46
70;23;26;44;47
71;24;26;45;47
72;24;27;45;48
73;25;27;46;48
74;25;28;46;49
75;25;28;47;50
76;26;28;48;50
77;26;29;48;51
78;27;29;49;51
79;27;30;49;52
80;28;30;50;52
81;28;31;50;53
82;28;31;51;54
83;29;32;51;54
84;29;32;52;55
85;30;32;53;55
86;30;33;53;56
87;31;33;54;56
88;31;34;54;57
89;31;34;55;58
90;32;35;55;58
